position, density-ex, pressure-ex, internal-energy-ex, velocity-ex, zero
1.003000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.003500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.004000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.004500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.005000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.005500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.006000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.006500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.007000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.007500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.008000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.008500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.009000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.009500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.010000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.010500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.011000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.011500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.012000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.012500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.013000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.013500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.014000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.014500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.015000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.015500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.016000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.016500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.017000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.017500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.018000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.018500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.019000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.019500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.020000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.020500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.021000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.021500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.022000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.022500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.023000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.023500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.024000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.024500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.025000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.025500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.026000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.026500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.027000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.027500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.028000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.028500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.029000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.029500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.030000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.030500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.031000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.031500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.032000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.032500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.033000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.033500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.034000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.034500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
