"arc_length","Density","EnergyStagnationDensity","MomentumX"
0.873,1,0.1,-4.61734e-08
0.882,1,0.1,-4.39956e-08
0.891,0.999999,0.0999999,2.99197e-07
0.9,1,0.100001,-1.00265e-06
0.909,0.999995,0.0999992,1.63696e-06
0.918,1.00001,0.100001,-2.8699e-06
0.927,0.999988,0.0999981,3.87203e-06
0.936,1.00002,0.100003,-5.52969e-06
0.945,0.999982,0.0999971,5.87223e-06
0.954,1.00003,0.100005,-9.54463e-06
0.963,0.999954,0.0999924,1.51834e-05
0.972,1.00015,0.100025,-5.09129e-05
0.981,0.999736,0.0999561,8.7827e-05
0.99,1.00108,0.100181,-0.000361289
0.999,0.999362,0.0998937,0.000212542
1.008,0.996078,0.099348,0.00130406
1.017,0.9928,0.0988058,0.00238835
1.026,0.989519,0.0982654,0.00346912
1.035,0.986232,0.0977263,0.00454711
1.044,0.982943,0.0971894,0.00562083
1.053,0.979654,0.096655,0.00668942
1.062,0.976368,0.0961232,0.00775254
1.071,0.973085,0.0955944,0.00880966
1.08,0.969806,0.0950686,0.00986073
1.089,0.966531,0.0945459,0.0109054
1.098,0.963262,0.0940263,0.0119437
1.107,0.959998,0.0935099,0.0129753
1.116,0.956739,0.0929967,0.0140004
1.125,0.953486,0.0924868,0.0150187
1.134,0.950239,0.0919801,0.0160304
1.143,0.946999,0.0914767,0.0170353
1.152,0.943764,0.0909765,0.0180335
1.161,0.940536,0.0904796,0.0190248
1.17,0.937315,0.0899859,0.0200093
1.179,0.9341,0.0894955,0.020987
1.188,0.930892,0.0890083,0.021958
1.197,0.92769,0.0885244,0.0229221
1.206,0.924495,0.0880437,0.0238794
1.215,0.921307,0.0875663,0.0248299
1.224,0.918126,0.087092,0.0257736
1.233,0.914952,0.0866209,0.0267105
1.242,0.911784,0.086153,0.0276407
1.251,0.908624,0.0856883,0.0285641
1.26,0.90547,0.0852267,0.0294808
1.269,0.902323,0.0847683,0.0303908
1.278,0.899183,0.084313,0.031294
1.287,0.896051,0.0838608,0.0321905
1.296,0.892925,0.0834117,0.0330805
1.305,0.889806,0.0829657,0.0339636
1.314,0.886694,0.0825227,0.0348402
1.323,0.883589,0.0820829,0.0357101
1.332,0.880492,0.081646,0.0365735
1.341,0.877401,0.0812121,0.0374302
1.35,0.874317,0.0807813,0.0382804
1.359,0.871241,0.0803534,0.039124
1.368,0.868171,0.0799285,0.0399612
1.377,0.865109,0.0795066,0.0407917
1.386,0.862053,0.0790875,0.0416159
1.395,0.859005,0.0786715,0.0424335
1.404,0.855963,0.0782583,0.0432447
1.413,0.852929,0.077848,0.0440494
1.422,0.849902,0.0774405,0.0448478
1.431,0.846882,0.077036,0.0456398
1.44,0.843868,0.0766342,0.0464255
1.449,0.840862,0.0762353,0.0472047
1.458,0.837863,0.0758391,0.0479777
1.467,0.834871,0.0754458,0.0487443
1.476,0.831886,0.0750552,0.0495048
1.485,0.828908,0.0746674,0.0502589
1.494,0.825937,0.0742824,0.0510068
1.503,0.822973,0.0739,0.0517485
1.512,0.820016,0.0735203,0.052484
1.521,0.817067,0.0731434,0.0532133
1.53,0.814124,0.0727691,0.0539365
1.539,0.811188,0.0723974,0.0546536
1.548,0.808259,0.0720284,0.0553646
1.557,0.805337,0.0716621,0.0560695
1.566,0.802422,0.0712983,0.0567683
1.575,0.799515,0.0709371,0.0574611
1.584,0.796614,0.0705784,0.0581479
