"arc_length"	"Density","EnergyStagnationDensity","Ma","|m_i|"
0.475529	0.211619	0.11583	0.307503	0.0355644
0.477297	0.215861	0.11601	0.311583	0.0364129
0.479065	0.220112	0.116196	0.315683	0.0372686
0.480833	0.224372	0.116386	0.319804	0.0381313
0.4826	0.228777	0.116603	0.324075	0.039045
0.484368	0.233191	0.116823	0.328354	0.0399646
0.486136	0.237612	0.117049	0.33264	0.04089
0.487904	0.242043	0.117278	0.336933	0.0418213
0.489671	0.246624	0.117525	0.341284	0.0427936
0.491439	0.251212	0.117772	0.345621	0.0437687
0.493207	0.255805	0.118021	0.349944	0.0447465
0.494975	0.260404	0.118272	0.354253	0.045727
0.496743	0.265139	0.118526	0.358603	0.0467435
0.49851	0.269881	0.118776	0.36291	0.047758
0.500278	0.274627	0.119027	0.367212	0.0487758
0.502046	0.279376	0.119277	0.37151	0.049797
0.503814	0.284284	0.119536	0.375924	0.0508676
0.505581	0.289199	0.119796	0.380349	0.0519442
0.507349	0.294122	0.120057	0.384786	0.0530269
0.509117	0.299053	0.120318	0.389234	0.0541158
0.510885	0.304152	0.120585	0.393796	0.0552553
0.512652	0.309263	0.120851	0.398361	0.0564
0.51442	0.314383	0.121117	0.402929	0.05755
0.516188	0.319515	0.121382	0.4075	0.0587051
0.517956	0.324858	0.121656	0.412163	0.0599142
0.519723	0.330226	0.121932	0.416826	0.0611303
0.521491	0.335619	0.122211	0.421491	0.0623535
0.523259	0.341037	0.122491	0.426157	0.0635838
0.525027	0.346768	0.122805	0.430952	0.0648912
0.526795	0.352551	0.123129	0.435768	0.0662141
0.528562	0.358387	0.123463	0.440607	0.0675523
0.53033	0.364269	0.123798	0.445462	0.0689018
0.532098	0.370588	0.124193	0.450654	0.0703838
0.533866	0.376993	0.124613	0.455957	0.0719032
0.535633	0.383463	0.125042	0.461302	0.0734433
0.537401	0.39	0.12548	0.466687	0.0750042
0.539169	0.396976	0.125929	0.472331	0.0766801
0.540937	0.404012	0.126379	0.477999	0.0783721
0.542704	0.41111	0.12683	0.48369	0.0800803
0.544472	0.418268	0.127282	0.489405	0.0818046
0.54624	0.425897	0.127743	0.495352	0.0836475
0.548008	0.433598	0.128206	0.501317	0.0855081
0.549775	0.44137	0.128672	0.507299	0.0873864
0.551543	0.449213	0.12914	0.5133	0.0892823
0.553311	0.457596	0.129633	0.519495	0.0913084
0.555079	0.466062	0.130132	0.525696	0.0933533
0.556847	0.474612	0.130637	0.531903	0.095417
0.558614	0.483246	0.131146	0.538116	0.0974996
0.560382	0.492474	0.13169	0.54447	0.099718
0.56215	0.501786	0.132237	0.550826	0.101955
0.563918	0.511181	0.132788	0.557183	0.10421
0.565685	0.520671	0.133353	0.563633	0.106505
0.567453	0.53071	0.133938	0.57039	0.10896
0.569221	0.540794	0.134512	0.577048	0.111408
0.570989	0.55098	0.1351	0.583782	0.113894
0.572756	0.561267	0.135703	0.590592	0.11642
0.574524	0.572354	0.136412	0.59799	0.11923
0.576292	0.583555	0.137136	0.605428	0.122078
0.57806	0.594871	0.137875	0.612904	0.124964
0.579828	0.606301	0.138629	0.62042	0.127886
0.581595	0.618466	0.139451	0.628175	0.131024
0.583363	0.630726	0.140279	0.635911	0.134183
0.585131	0.643082	0.141113	0.643627	0.137365
0.586899	0.655534	0.141954	0.651324	0.140569
0.588666	0.668628	0.142823	0.65909	0.143935
0.590434	0.6818	0.143694	0.666839	0.147319
0.592202	0.695049	0.144565	0.67457	0.150722
0.59397	0.708377	0.145437	0.682285	0.154143
0.595737	0.722305	0.146328	0.690194	0.157745
0.597505	0.736304	0.147223	0.698144	0.16138
0.599273	0.750373	0.148122	0.706134	0.165046
0.601041	0.764535	0.149052	0.714243	0.168778
0.602809	0.779487	0.150035	0.722538	0.172737
0.604576	0.794557	0.15101	0.730734	0.176699
0.606344	0.809748	0.152009	0.738959	0.18071
0.608112	0.82506	0.153032	0.747215	0.18477
0.60988	0.8416	0.154215	0.755854	0.189228
0.611647	0.858296	0.155419	0.764544	0.193746
0.613415	0.875149	0.156644	0.773285	0.198324
0.615183	0.892158	0.157889	0.782076	0.202962
0.616951	0.910228	0.159231	0.7912	0.207952
0.618718	0.928416	0.160579	0.800356	0.212987
0.620486	0.946723	0.161934	0.809544	0.218068
0.622254	0.965149	0.163295	0.818763	0.223194
0.624022	0.984582	0.16471	0.828173	0.22862
0.62579	1.00416	0.16613	0.837581	0.23409
0.627557	1.02389	0.167557	0.846989	0.239601
0.629325	1.04376	0.16899	0.856395	0.245155
0.631093	1.06499	0.170516	0.865861	0.25106
0.632861	1.08649	0.172069	0.875322	0.257039
0.634628	1.10824	0.17365	0.884777	0.263089
0.636396	1.13021	0.175265	0.894233	0.269214
0.638164	1.15369	0.177011	0.90438	0.275914
0.639932	1.17752	0.178791	0.914639	0.282738
0.641699	1.20163	0.180613	0.925009	0.289685
0.643467	1.22603	0.182478	0.935488	0.296755
0.645235	1.25244	0.184539	0.946388	0.304483
0.647003	1.27916	0.186627	0.957296	0.312307
0.648771	1.30619	0.188745	0.96821	0.320227
0.650538	1.33353	0.190891	0.979132	0.328242
0.652306	1.36269	0.193164	0.990268	0.336815
0.654074	1.39211	0.195453	1.0014	0.345469
0.655842	1.42179	0.197757	1.01254	0.354203
0.657609	1.45173	0.200077	1.02367	0.363019
0.659377	1.48344	0.202518	1.03518	0.372445
0.661145	1.51544	0.204984	1.04673	0.381981
0.662913	1.54776	0.207476	1.05832	0.391627
0.66468	1.58037	0.209993	1.06994	0.401384
0.666448	1.61531	0.212733	1.08208	0.411994
0.668216	1.65079	0.215536	1.09421	0.422774
0.669984	1.68681	0.218401	1.10633	0.433723
0.671751	1.72317	0.221301	1.11811	0.444693
0.673519	1.76318	0.2246	1.13049	0.456945
0.675287	1.8036	0.227932	1.14347	0.469509
0.677055	1.84424	0.231297	1.15652	0.48221
0.678823	1.88509	0.234695	1.16966	0.49505
0.68059	1.92942	0.238353	1.18277	0.508879
0.682358	1.97431	0.242055	1.19587	0.522883
0.684126	2.01974	0.245802	1.20898	0.537063
0.685894	2.06571	0.249594	1.22208	0.551418
0.687661	2.11554	0.253695	1.2355	0.567023
0.689429	2.16601	0.257858	1.249	0.582869
0.691197	2.21711	0.262082	1.26257	0.598954
0.692965	2.26886	0.266367	1.27621	0.61528
0.694732	2.32496	0.271053	1.29055	0.633228
0.6965	2.38192	0.275826	1.30499	0.651494
0.698268	2.43973	0.280686	1.3195	0.67008
0.700036	2.49838	0.285633	1.3341	0.688984
0.701804	2.56263	0.291092	1.34936	0.709895
0.703571	2.628	0.296659	1.36461	0.731176
0.705339	2.6945	0.302334	1.37985	0.752826
0.707107	2.76411	0.308467	1.39363	0.775042
0.708875	2.83981	0.314086	1.41109	0.79924
0.710642	2.9099	0.320574	1.42695	0.823253
0.71241	2.98183	0.326835	1.44275	0.847307
0.714178	3.05559	0.332869	1.45849	0.8714
0.715946	3.14393	0.340536	1.47577	0.900799
0.717713	3.23305	0.34826	1.49302	0.930498
0.719481	3.32296	0.356044	1.51026	0.9605
0.721249	3.41366	0.363886	1.52748	0.990802
0.723017	3.50933	0.371863	1.54461	1.02256
0.724784	3.60537	0.379694	1.56166	1.05424
0.726552	3.70178	0.387377	1.57864	1.08585
0.72832	3.79856	0.394914	1.59554	1.1174
0.730088	3.91642	0.404458	1.61462	1.15642
0.731856	4.04027	0.41489	1.63442	1.19809
0.733623	4.17014	0.42621	1.65494	1.2424
0.735391	4.30601	0.438419	1.67617	1.28935
0.737159	4.49009	0.459279	1.70247	1.35988
0.738927	4.67845	0.482336	1.72982	1.43522
0.740694	4.8711	0.507593	1.75825	1.51539
0.742462	4.93641	0.502241	1.76748	1.52105
0.74423	4.99117	0.50456	1.77697	1.53734
0.745998	4.99117	0.49985	1.77255	1.52811
0.747765	4.99117	0.495144	1.76812	1.51888
0.749533	4.99117	0.490445	1.76367	1.50963
0.751301	4.73601	0.424352	1.73178	1.3545
0.753069	4.06518	0.373465	1.80035	1.23079
0.754836	3.34941	0.252269	1.49643	0.875135
0.756604	2.6336	0.14429	1.16024	0.561219
0.758372	1.91783	0.0495372	0.791832	0.289075
0.76014	1.20242	0.00287971	0.50525	0.0214937
0.761908	1.02081	3.58806e-06	0.0937709	0.000139394
0.763675	1.01405	2.42418e-06	0.0801175	0.000104509
0.765443	1.0073	1.26133e-06	0.0686904	7.63791e-05
0.767211	1.00055	9.93922e-08	0.0594886	5.50012e-05
0.768979	1.00017	2.51138e-08	0.000464478	5.50875e-08
0.770746	1.00004	2.50174e-08	0.000149839	1.77357e-08
0.772514	1.00001	2.50058e-08	0.0001498	1.77267e-08
0.774282	0.999986	2.49942e-08	0.000149761	1.77177e-08
0.77605	0.999959	2.49826e-08	0.000149721	1.77087e-08
0.777817	0.999974	2.49556e-08	0.000155436	1.83749e-08
0.779585	1.00001	2.50002e-08	3.85138e-06	4.55706e-10
