"arc_length","Cspd","Density","eint","pres","velx"
3.276,0.238504,0.366311,0.0511957,0.0125024,0.284488
3.285,0.238129,0.364585,0.0510348,0.0124043,0.285614
3.294,0.237753,0.362864,0.050874,0.0123069,0.28674
3.303,0.237378,0.361149,0.0507136,0.0122101,0.287865
3.312,0.237003,0.359439,0.0505534,0.0121139,0.288991
3.321,0.236628,0.357735,0.0503934,0.0120183,0.290117
3.33,0.236253,0.356036,0.0502338,0.0119233,0.291242
3.339,0.235877,0.354342,0.0500743,0.011829,0.292368
3.348,0.235502,0.352654,0.0499152,0.0117352,0.293493
3.357,0.235127,0.350971,0.0497563,0.011642,0.294619
3.366,0.234752,0.349294,0.0495976,0.0115494,0.295744
3.375,0.234377,0.347622,0.0494392,0.0114574,0.29687
3.384,0.234002,0.345955,0.0492811,0.011366,0.297995
3.393,0.233626,0.344294,0.0491232,0.0112752,0.299121
3.402,0.233251,0.342638,0.0489655,0.011185,0.300246
3.411,0.232876,0.340988,0.0488082,0.0110953,0.301371
3.42,0.232501,0.339343,0.0486511,0.0110063,0.302497
3.429,0.232126,0.337703,0.0484942,0.0109178,0.303622
3.438,0.231751,0.336069,0.0483376,0.0108298,0.304747
3.447,0.231376,0.334439,0.0481813,0.0107425,0.305873
3.456,0.231001,0.332816,0.0480252,0.0106557,0.306998
3.465,0.230626,0.331197,0.0478694,0.0105695,0.308123
3.474,0.230251,0.329584,0.0477138,0.0104838,0.309248
3.483,0.229876,0.327976,0.0475585,0.0103987,0.310373
3.492,0.2295,0.326373,0.0474034,0.0103141,0.311499
3.501,0.229125,0.324776,0.0472486,0.0102302,0.312624
3.51,0.22875,0.323184,0.0470941,0.0101467,0.313749
3.519,0.228375,0.321597,0.0469398,0.0100638,0.314874
3.528,0.228,0.320015,0.0467858,0.00998144,0.315999
3.537,0.227625,0.318439,0.046632,0.00989963,0.317124
3.546,0.22725,0.316868,0.0464785,0.00981835,0.318249
3.555,0.226875,0.315302,0.0463252,0.00973761,0.319374
3.564,0.2265,0.313741,0.0461722,0.00965741,0.320499
3.573,0.226126,0.312185,0.0460195,0.00957773,0.321624
3.582,0.225751,0.310635,0.045867,0.00949858,0.322748
3.591,0.225376,0.30909,0.0457147,0.00941996,0.323873
3.6,0.225001,0.307549,0.0455628,0.00934186,0.324998
3.609,0.224626,0.306014,0.045411,0.00926429,0.326123
3.618,0.224251,0.304485,0.0452595,0.00918722,0.327248
3.627,0.223876,0.30296,0.0451083,0.00911067,0.328373
3.636,0.223501,0.30144,0.0449574,0.00903463,0.329498
3.645,0.223126,0.299926,0.0448067,0.00895911,0.330622
3.654,0.222751,0.298416,0.0446562,0.00888409,0.331747
3.663,0.222376,0.296912,0.044506,0.00880957,0.332872
3.672,0.222001,0.295412,0.044356,0.00873555,0.333997
3.681,0.221626,0.293918,0.0442063,0.00866204,0.335122
3.69,0.221251,0.292429,0.0440569,0.00858902,0.336246
3.699,0.220876,0.290945,0.0439077,0.00851649,0.337371
3.708,0.220501,0.289466,0.0437588,0.00844445,0.338496
3.717,0.220126,0.287992,0.0436101,0.00837291,0.339621
3.726,0.219751,0.286523,0.0434616,0.00830184,0.340745
3.735,0.219377,0.285059,0.0433135,0.00823126,0.34187
3.744,0.219002,0.2836,0.0431656,0.00816116,0.342995
3.753,0.218627,0.282146,0.0430179,0.00809154,0.34412
3.762,0.218252,0.280697,0.0428704,0.00802239,0.345245
3.771,0.217877,0.279252,0.0427233,0.00795373,0.346369
3.78,0.217502,0.277813,0.0425764,0.00788552,0.347494
3.789,0.217127,0.276379,0.0424297,0.00781779,0.348619
3.798,0.216752,0.27495,0.0422833,0.00775052,0.349744
3.807,0.216377,0.273525,0.0421372,0.00768372,0.350869
3.816,0.216002,0.272106,0.0419913,0.00761737,0.351994
3.825,0.215627,0.270691,0.0418456,0.00755149,0.353118
3.834,0.215252,0.269282,0.0417002,0.00748606,0.354243
3.843,0.214877,0.267877,0.041555,0.00742109,0.355368
3.852,0.214502,0.266477,0.0414102,0.00735657,0.356493
3.861,0.214127,0.265082,0.0412655,0.0072925,0.357618
3.87,0.213752,0.263692,0.0411211,0.00722887,0.358743
3.879,0.213378,0.262307,0.040977,0.0071657,0.359867
3.888,0.213003,0.260926,0.0408331,0.00710296,0.360992
3.897,0.212628,0.259551,0.0406895,0.00704066,0.362117
3.906,0.212253,0.258181,0.0405461,0.0069788,0.363242
3.915,0.211878,0.256815,0.040403,0.00691738,0.364367
3.924,0.211503,0.255453,0.0402601,0.00685639,0.365492
