Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-0.152,0,0,0.152,-0.769532,0.848,424,1
-0.15,0,0,0.15,-0.772061,0.85,425,1
-0.148,0,0,0.148,-0.77459,0.852,426,1
-0.146,0,0,0.146,-0.77712,0.854,427,1
-0.144,0,0,0.144,-0.779649,0.856,428,1
-0.142,0,0,0.142,-0.782178,0.858,429,1
-0.14,0,0,0.14,-0.784707,0.86,430,1
-0.138,0,0,0.138,-0.787236,0.862,431,1
-0.136,0,0,0.136,-0.789765,0.864,432,1
-0.134,0,0,0.134,-0.792294,0.866,433,1
-0.132,0,0,0.132,-0.794548,0.868,434,1
-0.13,0,0,0.13,-0.796666,0.87,435,1
-0.128,0,0,0.128,-0.798783,0.872,436,1
-0.126,0,0,0.126,-0.800901,0.874,437,1
-0.124,0,0,0.124,-0.803018,0.876,438,1
-0.122,0,0,0.122,-0.805135,0.878,439,1
-0.12,0,0,0.12,-0.807253,0.88,440,1
-0.118,0,0,0.118,-0.80937,0.882,441,1
-0.116,0,0,0.116,-0.811487,0.884,442,1
-0.114,0,0,0.114,-0.813605,0.886,443,1
-0.112,0,0,0.112,-0.815722,0.888,444,1
-0.11,0,0,0.11,-0.81784,0.89,445,1
-0.108,0,0,0.108,-0.819957,0.892,446,1
-0.106,0,0,0.106,-0.822074,0.894,447,1
-0.104,0,0,0.104,-0.824192,0.896,448,1
-0.102,0,0,0.102,-0.826309,0.898,449,1
-0.1,0,0,0.1,-0.828427,0.9,450,1
-0.098,0,0,0.098,-0.830544,0.902,451,1
-0.096,0,0,0.096,-0.832661,0.904,452,1
-0.094,0,0,0.094,-0.834779,0.906,453,1
-0.092,0,0,0.092,-0.836896,0.908,454,1
-0.09,0,0,0.09,-0.839014,0.91,455,1
-0.088,0,0,0.088,-0.841131,0.912,456,1
-0.086,0,0,0.086,-0.843248,0.914,457,1
-0.084,0,0,0.084,-0.845366,0.916,458,1
-0.082,0,0,0.082,-0.847483,0.918,459,1
-0.08,0,0,0.08,-0.849601,0.92,460,1
-0.078,0,0,0.078,-0.851718,0.922,461,1
-0.076,0,0,0.076,-0.853835,0.924,462,1
-0.074,0,0,0.074,-0.855953,0.926,463,1
-0.072,0,0,0.072,-0.85807,0.928,464,1
-0.07,0,0,0.07,-0.860187,0.93,465,1
-0.068,0,0,0.068,-0.862305,0.932,466,1
-0.066,0,0,0.066,-0.864275,0.934,467,1
-0.064,0,0,0.064,-0.865951,0.936,468,1
-0.062,0,0,0.062,-0.867627,0.938,469,1
-0.06,0,0,0.06,-0.869302,0.94,470,1
-0.058,0,0,0.058,-0.870978,0.942,471,1
-0.056,0,0,0.056,-0.872654,0.944,472,1
-0.054,0,0,0.054,-0.874329,0.946,473,1
-0.052,0,0,0.052,-0.876005,0.948,474,1
-0.05,0,0,0.05,-0.877681,0.95,475,1
-0.048,0,0,0.048,-0.879357,0.952,476,1
-0.046,0,0,0.046,-0.881032,0.954,477,1
